label,precision,recall,f1-score,support
bully,0.8457142857142858,0.891566265060241,0.8680351906158358,1162.0
sexual,0.6678445229681979,0.627906976744186,0.6472602739726028,301.0
religious,0.9285714285714286,0.9176470588235294,0.9230769230769231,255.0
threat,0.8392857142857143,0.7121212121212122,0.7704918032786885,198.0
spam,0.8676470588235294,0.7065868263473054,0.7788778877887789,167.0
micro avg,0.8323643410852714,0.8247719635141623,0.8285507595852424,2083.0
macro avg,0.8298126020726311,0.7711656678192947,0.7975484157465658,2083.0
weighted avg,0.8313022304134626,0.8247719635141623,0.8264507122687836,2083.0
samples avg,0.6447927736450585,0.6346971307120085,0.6265396488031981,2083.0
