label,precision,recall,f1-score,support
bully,0.8687035507844756,0.9053356282271945,0.8866413822166035,1162.0
sexual,0.7532467532467533,0.5780730897009967,0.6541353383458647,301.0
religious,0.8816793893129771,0.9058823529411765,0.8936170212765957,255.0
threat,0.8089887640449438,0.7272727272727273,0.7659574468085106,198.0
spam,0.8778625954198473,0.688622754491018,0.7718120805369127,167.0
micro avg,0.8524590163934426,0.8238118098895824,0.837890625,2083.0
macro avg,0.8380962105617995,0.7610373105266225,0.7944326538368974,2083.0
weighted avg,0.8486662850358405,0.8238118098895824,0.8332196616999904,2083.0
samples avg,0.6517888770811193,0.6358041091037903,0.6319467638277415,2083.0
