label,precision,recall,f1-score,support
bully,0.6174282678002125,1.0,0.7634691195795007,1162.0
sexual,0.0,0.0,0.0,301.0
religious,0.0,0.0,0.0,255.0
threat,0.0,0.0,0.0,198.0
spam,0.0,0.0,0.0,167.0
micro avg,0.6174282678002125,0.5578492558809409,0.5861286254728878,2083.0
macro avg,0.12348565356004251,0.2,0.15269382391590014,2083.0
weighted avg,0.3444318997522069,0.5578492558809409,0.4259006802455016,2083.0
samples avg,0.6174282678002125,0.4675433935529578,0.5150726177825009,2083.0
