loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_precision_micro,eval_recall_micro,eval_f1_micro,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_bully_precision,eval_bully_recall,eval_bully_f1,eval_bully_support,eval_sexual_precision,eval_sexual_recall,eval_sexual_f1,eval_sexual_support,eval_religious_precision,eval_religious_recall,eval_religious_f1,eval_religious_support,eval_threat_precision,eval_threat_recall,eval_threat_f1,eval_threat_support,eval_spam_precision,eval_spam_recall,eval_spam_f1,eval_spam_support,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5086,1.6571180820465088,1.9429265330904678e-05,0.09107468123861566,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4082,2.041579008102417,1.8822100789313907e-05,0.18214936247723132,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3637,3.519958019256592,1.8227079538554952e-05,0.273224043715847,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3286,3.4202587604522705,1.7619914996964178e-05,0.36429872495446264,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3064,5.680193901062012,1.7012750455373407e-05,0.4553734061930783,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2856,4.568617820739746,1.6405585913782637e-05,0.546448087431694,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.281,4.156399250030518,1.5798421372191866e-05,0.6375227686703097,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2575,4.601974010467529,1.5191256830601094e-05,0.7285974499089253,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2427,3.073286533355713,1.4584092289010323e-05,0.819672131147541,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2432,3.4147074222564697,1.3989071038251368e-05,0.9107468123861566,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,549,0.22626738250255585,0.8129967274427302,0.8062123319425127,0.8095903165735568,0.8180293851215682,0.7201284648387052,0.7624660844301631,0.8307464892830746,0.9160554197229014,0.8713178294573644,1227.0,0.6177474402730375,0.565625,0.5905383360522023,320.0,0.9289340101522843,0.7656903765690377,0.8394495412844036,239.0,0.8135593220338984,0.676056338028169,0.7384615384615385,213.0,0.8991596638655462,0.6772151898734177,0.7725631768953068,158.0,3.5188,534.836,33.534,,,,,
